1 - Sexo/Gênero;2 - Idade;3 - Raça/Cor;4 - Estado Civil:;5 - Você possui trabalho formal?;5.0 - Área de atuação do trabalho formal;5.1 - Você trabalha na área de seu curso?;6 - Qual é sua jornada de trabalho semanal?;7 - Qual é a renda média de seu grupo familiar?;7.0 - Quantas pessoas vivem dessa renda?;7.1 - Qual a sua renda salarial?;8 - Você cursou o Ensino Médio em que tipo de escola?;9 - Qual a modalidade do Ensino Médio que você cursou?;10 - Há quanto tempo você finalizou o Ensino Médio?;11 - Você reside no mesmo município do Polo de Apoio Presencial em que vai estudar?;12 - Se não reside no município do Polo de Apoio Presencial, qual a distância da sua residência até o Polo?;13 - Você já tem um curso de graduação concluído?;13 - Que tipo de graduação você cursou anteriormente?;11 - Você possui alguma experiência prévia com EaD?;18 - Em que local você poderá acessar com mais frequência o AVA?;16 - Em qual turno você pretende acessar o AVA do curso para realização das atividades?;15 - Em que dias da semana, preferencialmente, você acessa o AVA?;17 - O que te levou a optar por um curso de graduação a distância?;18 - Você tem acesso a internet em casa?;18.0 - Tipo da internet em casa?;19 - Você apresenta alguma necessidade educacional especial?;19.0 - Se apresenta alguma necessidade educacional especial, especifique.;20 - Você dispõe de qual  ferramenta tecnológica para realização das atividades do curso?;22 - O que você considera mais importante para a sua jornada de aprendizagem na EaD?;19 - Curso de Graduação;Oferta;Evadiu?
Feminino;De 30 a 35 anos;;Solteiro(a);Sim;;;Não trabalho;Até 1 salário mínimo;;;Não informado;;Não informado;Sim;;Não;Não fiz outra graduação;Sim;Em casa;Manhã;De segunda à sexta-feira;Carga horária flexível e compatível com minha realidade;;;;;;;Pedagogia - Licenciatura;2018;0
Feminino;De 41 a 45 anos;;Solteiro(a);Sim;;;Não trabalho;De 2 a 4 salários mínimos;;;Não informado;;Não informado;Não;;Não;Não fiz outra graduação;Sim;Em casa;Tarde;De segunda à sexta-feira;Carga horária flexível e compatível com minha realidade;;;;;;;Pedagogia - Licenciatura;2018;0
Feminino;De 36 a 40 anos;;Solteiro(a);Sim;;;Não trabalho;Até 1 salário mínimo;;;Não informado;;Não informado;Sim;;Sim;Presencial;Sim;Em casa;Noite;De segunda à sexta-feira;Autonomia nos estudos;;;;;;;Pedagogia - Licenciatura;2018;0
Masculino;De 41 a 45 anos;;Casado(a);Sim;;;De 21 a 40 horas;De 5 ou mais salários mínimos;;;Não informado;;Não informado;Não;;Sim;Presencial;Sim;Em casa;Noite;De segunda à sexta-feira;Carga horária flexível e compatível com minha realidade;;;;;;;Pedagogia - Licenciatura;2018;0
Feminino;De 41 a 45 anos;;Divorciado(a);Sim;;;Até 20 horas;De 2 a 4 salários mínimos;;;Não informado;;Não informado;Sim;;Sim;Presencial;Sim;Em casa;Noite;Sábados e domingos;Carga horária flexível e compatível com minha realidade;;;;;;;Pedagogia - Licenciatura;2018;0
Feminino;De 30 a 35 anos;;Casado(a);Sim;;;De 21 a 40 horas;Até 1 salário mínimo;;;Não informado;;Não informado;Sim;;Não;Não fiz outra graduação;Sim;Em casa de familiares ou amigos;Noite;De segunda à sexta-feira;Carga horária flexível e compatível com minha realidade;;;;;;;Pedagogia - Licenciatura;2018;1
Feminino;De 24 a 29 anos;;Solteiro(a);Sim;;;De 21 a 40 horas;Até 1 salário mínimo;;;Não informado;;Não informado;Sim;;Não;Não fiz outra graduação;Sim;Em lan houses;Manhã;De segunda à sexta-feira;Autonomia nos estudos;;;;;;;Pedagogia - Licenciatura;2018;0
Feminino;De 24 a 29 anos;;Solteiro(a);Sim;;;Até 20 horas;Até 1 salário mínimo;;;Não informado;;Não informado;Sim;;Sim;A distância (ou semipresencial);Sim;No polo;Manhã;De segunda à sexta-feira;Custos mais baixos para concluir o curso;;;;;;;Pedagogia - Licenciatura;2018;0
Feminino;De 30 a 35 anos;;Solteiro(a);Sim;;;Mais de 40 horas;Até 1 salário mínimo;;;Não informado;;Não informado;Não;;Não;Não fiz outra graduação;Sim;No polo;Noite;De segunda à sexta-feira;Carga horária flexível e compatível com minha realidade;;;;;;;Pedagogia - Licenciatura;2018;0
Feminino;De 46 a 50 anos;;Casado(a);Sim;;;De 21 a 40 horas;De 2 a 4 salários mínimos;;;Não informado;;Não informado;Sim;;Não;Não fiz outra graduação;Sim;No trabalho;Noite;Sábados e domingos;Facilidade de acesso às aulas e ao material didático;;;;;;;Pedagogia - Licenciatura;2018;1
Feminino;De 18 a 23 anos;;Solteiro(a);Sim;;;Mais de 40 horas;Até 1 salário mínimo;;;Não informado;;Não informado;Sim;;Não;Não fiz outra graduação;Sim;outros;Noite;Sábados e domingos;outros;;;;;;;Pedagogia - Licenciatura;2018;0
Feminino;De 30 a 35 anos;;Casado(a);Sim;;;Não trabalho;Até 1 salário mínimo;;;Não informado;;Não informado;Sim;;Sim;A distância (ou semipresencial);Não;Em casa;Noite;De segunda à sexta-feira;Custos mais baixos para concluir o curso;;;;;;;Pedagogia - Licenciatura;2018;0
Feminino;De 18 a 23 anos;;Casado(a);Sim;;;Até 20 horas;Até 1 salário mínimo;;;Não informado;;Não informado;Sim;;Não;Não fiz outra graduação;Não;Em casa;Tarde;De segunda à sexta-feira;Carga horária flexível e compatível com minha realidade;;;;;;;Pedagogia - Licenciatura;2018;1
Feminino;De 18 a 23 anos;;Casado(a);Sim;;;Não trabalho;Até 1 salário mínimo;;;Não informado;;Não informado;Sim;;Não;Não fiz outra graduação;Não;Em casa;Noite;Sábados e domingos;Facilidade de acesso às aulas e ao material didático;;;;;;;Pedagogia - Licenciatura;2018;1
Masculino;De 18 a 23 anos;;Solteiro(a);Sim;;;De 21 a 40 horas;Até 1 salário mínimo;;;Não informado;;Não informado;Sim;;Não;Não fiz outra graduação;Não;Em casa;Tarde;De segunda à sexta-feira;Carga horária flexível e compatível com minha realidade;;;;;;;Pedagogia - Licenciatura;2018;1
Feminino;De 18 a 23 anos;;Solteiro(a);Sim;;;De 21 a 40 horas;De 2 a 4 salários mínimos;;;Não informado;;Não informado;Sim;;Não;Não fiz outra graduação;Não;Em casa;Noite;De segunda à sexta-feira;Carga horária flexível e compatível com minha realidade;;;;;;;Pedagogia - Licenciatura;2018;0
Feminino;De 18 a 23 anos;;Solteiro(a);Sim;;;De 21 a 40 horas;Até 1 salário mínimo;;;Não informado;;Não informado;Sim;;Não;Não fiz outra graduação;Não;Em casa;Noite;De segunda à sexta-feira;Carga horária flexível e compatível com minha realidade;;;;;;;Pedagogia - Licenciatura;2018;0
Feminino;De 18 a 23 anos;;Solteiro(a);Sim;;;De 21 a 40 horas;Até 1 salário mínimo;;;Não informado;;Não informado;Sim;;Não;Não fiz outra graduação;Não;Em casa;Noite;Sábados e domingos;Facilidade de acesso às aulas e ao material didático;;;;;;;Pedagogia - Licenciatura;2018;1
Feminino;De 18 a 23 anos;;Solteiro(a);Sim;;;Até 20 horas;De 2 a 4 salários mínimos;;;Não informado;;Não informado;Sim;;Não;Não fiz outra graduação;Não;Em casa;Noite;Sábados e domingos;Carga horária flexível e compatível com minha realidade;;;;;;;Pedagogia - Licenciatura;2018;0
Masculino;De 24 a 29 anos;;Solteiro(a);Sim;;;De 21 a 40 horas;Até 1 salário mínimo;;;Não informado;;Não informado;Não;;Não;Não fiz outra graduação;Não;Em casa;Noite;De segunda à sexta-feira;Facilidade de acesso às aulas e ao material didático;;;;;;;Pedagogia - Licenciatura;2018;1
Feminino;De 24 a 29 anos;;Solteiro(a);Sim;;;Não trabalho;Até 1 salário mínimo;;;Não informado;;Não informado;Sim;;Não;Não fiz outra graduação;Não;Em casa;Noite;De segunda à sexta-feira;Facilidade de acesso às aulas e ao material didático;;;;;;;Pedagogia - Licenciatura;2018;1
Feminino;De 24 a 29 anos;;Solteiro(a);Sim;;;De 21 a 40 horas;De 2 a 4 salários mínimos;;;Não informado;;Não informado;Sim;;Não;Não fiz outra graduação;Não;Em casa;Noite;De segunda à sexta-feira;Carga horária flexível e compatível com minha realidade;;;;;;;Pedagogia - Licenciatura;2018;0
Feminino;De 30 a 35 anos;;Casado(a);Sim;;;De 21 a 40 horas;De 2 a 4 salários mínimos;;;Não informado;;Não informado;Sim;;Não;Não fiz outra graduação;Não;Em casa;Noite;De segunda à sexta-feira;Carga horária flexível e compatível com minha realidade;;;;;;;Pedagogia - Licenciatura;2018;0
Feminino;De 30 a 35 anos;;Casado(a);Sim;;;De 21 a 40 horas;Até 1 salário mínimo;;;Não informado;;Não informado;Sim;;Não;Não fiz outra graduação;Não;Em casa;Noite;De segunda à sexta-feira;Carga horária flexível e compatível com minha realidade;;;;;;;Pedagogia - Licenciatura;2018;0
Feminino;De 30 a 35 anos;;Solteiro(a);Sim;;;De 21 a 40 horas;Até 1 salário mínimo;;;Não informado;;Não informado;Sim;;Não;Não fiz outra graduação;Não;Em casa;Noite;De segunda à sexta-feira;Custos mais baixos para concluir o curso;;;;;;;Pedagogia - Licenciatura;2018;1
Feminino;De 36 a 40 anos;;Casado(a);Sim;;;Mais de 40 horas;De 2 a 4 salários mínimos;;;Não informado;;Não informado;Sim;;Não;Não fiz outra graduação;Não;Em casa;Noite;Sábados e domingos;Carga horária flexível e compatível com minha realidade;;;;;;;Pedagogia - Licenciatura;2018;0
Feminino;De 46 a 50 anos;;Divorciado(a);Sim;;;Não trabalho;Até 1 salário mínimo;;;Não informado;;Não informado;Sim;;Não;Não fiz outra graduação;Não;Em casa;Noite;Sábados e domingos;Carga horária flexível e compatível com minha realidade;;;;;;;Pedagogia - Licenciatura;2018;0
Feminino;Acima de 50 anos;;Casado(a);Sim;;;Mais de 40 horas;De 2 a 4 salários mínimos;;;Não informado;;Não informado;Sim;;Sim;Presencial;Não;Em casa;Noite;Sábados e domingos;Custos mais baixos para concluir o curso;;;;;;;Pedagogia - Licenciatura;2018;0
Feminino;De 24 a 29 anos;;Viúvo(a);Sim;;;Mais de 40 horas;De 2 a 4 salários mínimos;;;Não informado;;Não informado;Sim;;Sim;Presencial;Não;Em casa;Noite;De segunda à sexta-feira;Carga horária flexível e compatível com minha realidade;;;;;;;Pedagogia - Licenciatura;2018;0
Feminino;De 18 a 23 anos;;Solteiro(a);Sim;;;Não trabalho;Até 1 salário mínimo;;;Não informado;;Não informado;Não;;Não;Não fiz outra graduação;Não;Em casa de familiares ou amigos;Tarde;De segunda à sexta-feira;Custos mais baixos para concluir o curso;;;;;;;Pedagogia - Licenciatura;2018;0
Feminino;De 30 a 35 anos;;Casado(a);Sim;;;Até 20 horas;De 2 a 4 salários mínimos;;;Não informado;;Não informado;Sim;;Sim;Presencial;Não;No trabalho;Noite;Sábados e domingos;Carga horária flexível e compatível com minha realidade;;;;;;;Pedagogia - Licenciatura;2018;0
Feminino;De 30 a 35 anos;;Divorciado(a);Sim;;Não;Mais de 40 horas;Até 1 salário mínimo;;;Escola pública;;Mais de 5 anos;Sim;;Sim;A distância (ou semipresencial);Sim;Em casa;Noite;De segunda à sexta-feira;Carga horária flexível e compatível com minha realidade;;;;;;;Tecnologia em Análise e Desenvolvimento de Sistemas - Tecnólogo;2018;0
Masculino;De 18 a 23 anos;;Solteiro(a);Sim;;Não;Mais de 40 horas;De 2 a 4 salários mínimos;;;Escola pública;;Mais de 5 anos;Não;;Não;Não fiz outra graduação;Sim;Em casa;Noite;Sábados e domingos;Carga horária flexível e compatível com minha realidade;;;;;;;Tecnologia em Análise e Desenvolvimento de Sistemas - Tecnólogo;2018;0
Masculino;De 30 a 35 anos;;Solteiro(a);Sim;;Não;De 21 a 40 horas;5 ou mais salários mínimos;;;Escola privada;;Mais de 5 anos;Não;;Sim;Presencial;Sim;Em casa;Noite;De segunda à sexta-feira;Carga horária flexível e compatível com minha realidade;;;;;;;Tecnologia em Análise e Desenvolvimento de Sistemas - Tecnólogo;2018;0
Masculino;De 36 a 40 anos;;Casado(a);Sim;;Não;De 21 a 40 horas;De 2 a 4 salários mínimos;;;Escola pública;;Mais de 5 anos;Não;;Sim;Presencial;Sim;Em casa;Noite;De segunda à sexta-feira;Carga horária flexível e compatível com minha realidade;;;;;;;Tecnologia em Análise e Desenvolvimento de Sistemas - Tecnólogo;2018;0
Masculino;De 46 a 50 anos;;Casado(a);Sim;;Não;Mais de 40 horas;De 2 a 4 salários mínimos;;;Escola pública;;Mais de 5 anos;Não;;Sim;Presencial;Sim;Em casa;Noite;De segunda à sexta-feira;Autonomia nos estudos;;;;;;;Tecnologia em Análise e Desenvolvimento de Sistemas - Tecnólogo;2018;1
Feminino;;;Casado(a);Sim;;Não;De 21 a 40 horas;De 2 a 4 salários mínimos;;;Escola pública;;Mais de 5 anos;Não;;Sim;Presencial;Sim;Em casa;Tarde;De segunda à sexta-feira;Carga horária flexível e compatível com minha realidade;;;;;;;Tecnologia em Análise e Desenvolvimento de Sistemas - Tecnólogo;2018;0
Masculino;De 18 a 23 anos;;Solteiro(a);Sim;;Não;Mais de 40 horas;De 2 a 4 salários mínimos;;;Escola pública;;De 1 a 2 anos;Sim;;Não;Não fiz outra graduação;Não;Em casa;Tarde;De segunda à sexta-feira;Carga horária flexível e compatível com minha realidade;;;;;;;Tecnologia em Análise e Desenvolvimento de Sistemas - Tecnólogo;2018;1
Masculino;De 18 a 23 anos;;Solteiro(a);Sim;;Não;Mais de 40 horas;5 ou mais salários mínimos;;;Escola pública;;De 3 a 5 anos;Não;;Não;Não fiz outra graduação;Não;Em casa;Noite;De segunda à sexta-feira;Carga horária flexível e compatível com minha realidade;;;;;;;Tecnologia em Análise e Desenvolvimento de Sistemas - Tecnólogo;2018;1
Masculino;De 18 a 23 anos;;Solteiro(a);Sim;;Não;Mais de 40 horas;De 2 a 4 salários mínimos;;;Escola pública;;De 3 a 5 anos;Sim;;Não;Não fiz outra graduação;Não;Em casa;Noite;Sábados e domingos;Outros;;;;;;;Tecnologia em Análise e Desenvolvimento de Sistemas - Tecnólogo;2018;1
Masculino;De 18 a 23 anos;;Solteiro(a);Sim;;Não;Mais de 40 horas;Até 1 salário mínimo;;;Escola pública;;De 3 a 5 anos;Não;;Não;Não fiz outra graduação;Não;Em casa;Noite;Sábados e domingos;Carga horária flexível e compatível com minha realidade;;;;;;;Tecnologia em Análise e Desenvolvimento de Sistemas - Tecnólogo;2018;0
Masculino;De 24 a 29 anos;;Casado(a);Sim;;Não;Mais de 40 horas;De 2 a 4 salários mínimos;;;Escola pública;;De 3 a 5 anos;Sim;;Não;Não fiz outra graduação;Não;Em casa;Noite;De segunda à sexta-feira;Carga horária flexível e compatível com minha realidade;;;;;;;Tecnologia em Análise e Desenvolvimento de Sistemas - Tecnólogo;2018;0
Masculino;De 30 a 35 anos;;Solteiro(a);Sim;;Não;De 21 a 40 horas;De 2 a 4 salários mínimos;;;Escola privada;;Mais de 5 anos;Não;;Não;Não fiz outra graduação;Não;Em casa;Manhã;De segunda à sexta-feira;Carga horária flexível e compatível com minha realidade;;;;;;;Tecnologia em Análise e Desenvolvimento de Sistemas - Tecnólogo;2018;0
Masculino;De 24 a 29 anos;;Casado(a);Sim;;Não;Mais de 40 horas;De 2 a 4 salários mínimos;;;Escola pública;;Mais de 5 anos;Sim;;Não;Não fiz outra graduação;Não;Em casa;Noite;De segunda à sexta-feira;Carga horária flexível e compatível com minha realidade;;;;;;;Tecnologia em Análise e Desenvolvimento de Sistemas - Tecnólogo;2018;0
Masculino;De 30 a 35 anos;;Casado(a);Sim;;Não;Mais de 40 horas;De 2 a 4 salários mínimos;;;Escola pública;;Mais de 5 anos;Não;;Não;Não fiz outra graduação;Não;Em casa;Tarde;Sábados e domingos;Autonomia nos estudos;;;;;;;Tecnologia em Análise e Desenvolvimento de Sistemas - Tecnólogo;2018;1
Masculino;De 30 a 35 anos;;Solteiro(a);Sim;;Não;Mais de 40 horas;De 2 a 4 salários mínimos;;;Escola pública;;Mais de 5 anos;Não;;Não;Não fiz outra graduação;Não;Em casa;Noite;De segunda à sexta-feira;Carga horária flexível e compatível com minha realidade;;;;;;;Tecnologia em Análise e Desenvolvimento de Sistemas - Tecnólogo;2018;1
Masculino;De 36 a 40 anos;;Casado(a);Sim;;Não;Mais de 40 horas;De 2 a 4 salários mínimos;;;Escola pública;;Mais de 5 anos;Não;;Não;Não fiz outra graduação;Não;Em casa;Noite;De segunda à sexta-feira;Carga horária flexível e compatível com minha realidade;;;;;;;Tecnologia em Análise e Desenvolvimento de Sistemas - Tecnólogo;2018;1
Masculino;De 46 a 50 anos;;Solteiro(a);Não;;Não;Mais de 40 horas;De 2 a 4 salários mínimos;;;Escola pública;;Mais de 5 anos;Sim;;Não;Não fiz outra graduação;Não;Em casa;Manhã;Sábados e domingos;Carga horária flexível e compatível com minha realidade;;;;;;;Tecnologia em Análise e Desenvolvimento de Sistemas - Tecnólogo;2018;0
Masculino;De 30 a 35 anos;;Casado(a);Sim;;Não;Até 20 horas;Até 1 salário mínimo;;;Escola pública;;Mais de 5 anos;Sim;;Sim;Presencial;Não;Em casa;Noite;De segunda à sexta-feira;Outros;;;;;;;Tecnologia em Análise e Desenvolvimento de Sistemas - Tecnólogo;2018;0
Masculino;De 30 a 35 anos;;Solteiro(a);Sim;;Não;De 21 a 40 horas;De 2 a 4 salários mínimos;;;Escola privada;;Mais de 5 anos;Não;;Sim;Presencial;Não;Em casa;Manhã;De segunda à sexta-feira;Carga horária flexível e compatível com minha realidade;;;;;;;Tecnologia em Análise e Desenvolvimento de Sistemas - Tecnólogo;2018;1
Masculino;De 24 a 29 anos;;Solteiro(a);Sim;;Não;De 21 a 40 horas;De 2 a 4 salários mínimos;;;Escola pública;;Mais de 5 anos;Não;;Sim;Presencial;Não;Em casa;Noite;De segunda à sexta-feira;Carga horária flexível e compatível com minha realidade;;;;;;;Tecnologia em Análise e Desenvolvimento de Sistemas - Tecnólogo;2018;0
Masculino;De 30 a 35 anos;;Casado(a);Sim;;Não;De 21 a 40 horas;De 2 a 4 salários mínimos;;;Escola pública;;Mais de 5 anos;Não;;Sim;Presencial;Não;Em casa;Noite;De segunda à sexta-feira;Carga horária flexível e compatível com minha realidade;;;;;;;Tecnologia em Análise e Desenvolvimento de Sistemas - Tecnólogo;2018;1
Masculino;De 30 a 35 anos;;Casado(a);Sim;;Não;Mais de 40 horas;De 2 a 4 salários mínimos;;;Escola pública;;Mais de 5 anos;Não;;Sim;Presencial;Não;Em casa;Noite;Sábados e domingos;Carga horária flexível e compatível com minha realidade;;;;;;;Tecnologia em Análise e Desenvolvimento de Sistemas - Tecnólogo;2018;0
Masculino;De 46 a 50 anos;;Casado(a);Sim;;Não;Mais de 40 horas;Até 1 salário mínimo;;;Escola pública;;Mais de 5 anos;Não;;Sim;Presencial;Não;Em casa;Noite;De segunda à sexta-feira;Carga horária flexível e compatível com minha realidade;;;;;;;Tecnologia em Análise e Desenvolvimento de Sistemas - Tecnólogo;2018;0
Masculino;De 36 a 40 anos;;Solteiro(a);Sim;;Não;Mais de 40 horas;5 ou mais salários mínimos;;;Escola pública;;Mais de 5 anos;Não;;Não;Não fiz outra graduação;Não;Em lan houses;Noite;Sábados e domingos;Carga horária flexível e compatível com minha realidade;;;;;;;Tecnologia em Análise e Desenvolvimento de Sistemas - Tecnólogo;2018;0
Masculino;De 18 a 23 anos;;Solteiro(a);Sim;;Não;De 21 a 40 horas;De 2 a 4 salários mínimos;;;Escola pública;;De 1 a 2 anos;Não;;Não;Não fiz outra graduação;Não;No trabalho;Tarde;De segunda à sexta-feira;Carga horária flexível e compatível com minha realidade;;;;;;;Tecnologia em Análise e Desenvolvimento de Sistemas - Tecnólogo;2018;0
Feminino;De 30 a 35 anos;;Casado(a);Sim;;Não;De 21 a 40 horas;De 2 a 4 salários mínimos;;;Escola pública;;Mais de 5 anos;Sim;;Não;Não fiz outra graduação;Não;No trabalho;Manhã;De segunda à sexta-feira;Custos mais baixos para concluir o curso;;;;;;;Tecnologia em Análise e Desenvolvimento de Sistemas - Tecnólogo;2018;1
Masculino;De 18 a 23 anos;;Solteiro(a);Não;;Não trabalho;Não trabalho;De 2 a 4 salários mínimos;;;Escola pública;;De 1 a 2 anos;Não;;Não;Não fiz outra graduação;Não;Em casa;Tarde;De segunda à sexta-feira;Carga horária flexível e compatível com minha realidade;;;;;;;Tecnologia em Análise e Desenvolvimento de Sistemas - Tecnólogo;2018;0
Masculino;De 24 a 29 anos;;Solteiro(a);Não;;Não trabalho;Mais de 40 horas;Até 1 salário mínimo;;;Escola pública;;De 1 a 2 anos;Não;;Não;Não fiz outra graduação;Não;Em casa;Noite;De segunda à sexta-feira;Carga horária flexível e compatível com minha realidade;;;;;;;Tecnologia em Análise e Desenvolvimento de Sistemas - Tecnólogo;2018;0
Feminino;De 18 a 23 anos;;Solteiro(a);Não;;Não trabalho;Não trabalho;De 2 a 4 salários mínimos;;;Escola pública;;De 3 a 5 anos;Não;;Não;Não fiz outra graduação;Não;Em casa;Manhã;De segunda à sexta-feira;Carga horária flexível e compatível com minha realidade;;;;;;;Tecnologia em Análise e Desenvolvimento de Sistemas - Tecnólogo;2018;0
Masculino;De 24 a 29 anos;;Solteiro(a);Não;;Não trabalho;Não trabalho;De 2 a 4 salários mínimos;;;Escola pública;;Mais de 5 anos;Não;;Não;Não fiz outra graduação;Não;Em casa;Tarde;De segunda à sexta-feira;Custos mais baixos para concluir o curso;;;;;;;Tecnologia em Análise e Desenvolvimento de Sistemas - Tecnólogo;2018;0
Masculino;De 24 a 29 anos;;Solteiro(a);Sim;;Não trabalho;Mais de 40 horas;Até 1 salário mínimo;;;Escola pública;;Mais de 5 anos;Não;;Não;Não fiz outra graduação;Não;Em casa;Manhã;De segunda à sexta-feira;Carga horária flexível e compatível com minha realidade;;;;;;;Tecnologia em Análise e Desenvolvimento de Sistemas - Tecnólogo;2018;1
Masculino;De 18 a 23 anos;;Solteiro(a);Não;;Sim;Até 20 horas;De 2 a 4 salários mínimos;;;Escola privada;;Mais de 5 anos;Não;;Não;Não fiz outra graduação;Sim;Em casa;Tarde;De segunda à sexta-feira;Carga horária flexível e compatível com minha realidade;;;;;;;Tecnologia em Análise e Desenvolvimento de Sistemas - Tecnólogo;2018;0
Masculino;De 24 a 29 anos;;Casado(a);Sim;;Sim;Mais de 40 horas;De 2 a 4 salários mínimos;;;Escola pública;;Mais de 5 anos;Não;;Não;Não fiz outra graduação;Não;Em casa;Noite;De segunda à sexta-feira;Outros;;;;;;;Tecnologia em Análise e Desenvolvimento de Sistemas - Tecnólogo;2018;1
Feminino;De 30 a 35 anos;;Casado(a);Sim;;Sim;De 21 a 40 horas;De 2 a 4 salários mínimos;;;Escola pública;;Mais de 5 anos;Sim;;Não;Não fiz outra graduação;Não;Em casa;Noite;Sábados e domingos;Carga horária flexível e compatível com minha realidade;;;;;;;Tecnologia em Análise e Desenvolvimento de Sistemas - Tecnólogo;2018;0
Feminino;De 24 a 29 anos;;Solteiro(a);Sim;;Sim;Mais de 40 horas;De 2 a 4 salários mínimos;;;Escola pública;;Mais de 5 anos;Sim;;Não;Não fiz outra graduação;Não;No trabalho;Noite;De segunda à sexta-feira;Carga horária flexível e compatível com minha realidade;;;;;;;Tecnologia em Análise e Desenvolvimento de Sistemas - Tecnólogo;2018;0
Masculino;De 36 a 40 anos;;Casado(a);Sim;;;Mais de 40 horas;De 5 ou mais salários mínimos;;;Não informado;;Não informado;Não;;Não;Não fiz outra graduação;Sim;Em casa;Noite;De segunda à sexta-feira;Carga horária flexível e compatível com minha realidade;;;;;;;Tecnologia em Análise e Desenvolvimento de Sistemas - Tecnólogo;2018;1
Masculino;De 41 a 45 anos;;Casado(a);Sim;;;De 21 a 40 horas;De 2 a 4 salários mínimos;;;Não informado;;Não informado;Sim;;Não;Não fiz outra graduação;Sim;Em casa;Noite;De segunda à sexta-feira;Carga horária flexível e compatível com minha realidade;;;;;;;Tecnologia em Análise e Desenvolvimento de Sistemas - Tecnólogo;2018;0
Masculino;De 24 a 29 anos;;Casado(a);Sim;;;De 21 a 40 horas;De 2 a 4 salários mínimos;;;Não informado;;Não informado;Não;;Não;Não fiz outra graduação;Não;Em casa;Noite;De segunda à sexta-feira;Facilidade de acesso às aulas e ao material didático;;;;;;;Tecnologia em Análise e Desenvolvimento de Sistemas - Tecnólogo;2018;0
Masculino;De 24 a 29 anos;;Solteiro(a);Sim;;;Mais de 40 horas;De 2 a 4 salários mínimos;;;Não informado;;Não informado;Não;;Não;Não fiz outra graduação;Não;Em casa;Noite;Sábados e domingos;Facilidade de acesso às aulas e ao material didático;;;;;;;Tecnologia em Análise e Desenvolvimento de Sistemas - Tecnólogo;2018;0
Masculino;De 30 a 35 anos;;Solteiro(a);Sim;;Não;De 21 a 40 horas;Até 1 salário mínimo;;;Escola pública;;Mais de 5 anos;Sim;;Sim;A distância (ou semipresencial);Sim;Em casa;Noite;De segunda à sexta-feira;Outros;;;;;;;Tecnologia em Gestão de Saúde Pública - Tecnólogo;2018;0
Feminino;De 41 a 45 anos;;Casado(a);Não;;Não;Não trabalho;De 2 a 4 salários mínimos;;;Escola pública;;Mais de 5 anos;Sim;;Sim;A distância (ou semipresencial);Sim;Em casa;Tarde;De segunda à sexta-feira;Carga horária flexível e compatível com minha realidade;;;;;;;Tecnologia em Gestão de Saúde Pública - Tecnólogo;2018;0
Feminino;De 24 a 29 anos;;Solteiro(a);Sim;;Não;De 21 a 40 horas;De 2 a 4 salários mínimos;;;Escola pública;;Mais de 5 anos;Sim;;Não;Não fiz outra graduação;Sim;Em casa;Noite;De segunda à sexta-feira;Carga horária flexível e compatível com minha realidade;;;;;;;Tecnologia em Gestão de Saúde Pública - Tecnólogo;2018;1
Feminino;De 30 a 35 anos;;Solteiro(a);Sim;;Não;De 21 a 40 horas;Até 1 salário mínimo;;;Escola pública;;Mais de 5 anos;Sim;;Não;Não fiz outra graduação;Sim;Em casa;Tarde;Sábados e domingos;Carga horária flexível e compatível com minha realidade;;;;;;;Tecnologia em Gestão de Saúde Pública - Tecnólogo;2018;1
Masculino;Acima de 50 anos;;Casado(a);Não;;Não;Não trabalho;De 2 a 4 salários mínimos;;;Escola privada;;Mais de 5 anos;Sim;;Sim;Presencial;Sim;Em casa;Manhã;Sábados e domingos;Autonomia nos estudos;;;;;;;Tecnologia em Gestão de Saúde Pública - Tecnólogo;2018;1
Masculino;De 24 a 29 anos;;Solteiro(a);Sim;;Não;De 21 a 40 horas;Até 1 salário mínimo;;;Escola pública;;De 1 a 2 anos;Não;;Não;Não fiz outra graduação;Não;Em casa;Noite;De segunda à sexta-feira;Carga horária flexível e compatível com minha realidade;;;;;;;Tecnologia em Gestão de Saúde Pública - Tecnólogo;2018;1
Masculino;De 18 a 23 anos;;Solteiro(a);Não;;Não;Mais de 40 horas;Até 1 salário mínimo;;;Escola pública;;De 1 a 2 anos;Sim;;Não;Não fiz outra graduação;Não;Em casa;Manhã;De segunda à sexta-feira;Carga horária flexível e compatível com minha realidade;;;;;;;Tecnologia em Gestão de Saúde Pública - Tecnólogo;2018;1
Masculino;De 18 a 23 anos;;Solteiro(a);Sim;;Não;De 21 a 40 horas;De 2 a 4 salários mínimos;;;Escola pública;;De 3 a 5 anos;Não;;Não;Não fiz outra graduação;Não;Em casa;Noite;Sábados e domingos;Carga horária flexível e compatível com minha realidade;;;;;;;Tecnologia em Gestão de Saúde Pública - Tecnólogo;2018;1
Masculino;De 18 a 23 anos;;Solteiro(a);Sim;;Não;De 21 a 40 horas;De 2 a 4 salários mínimos;;;Escola pública;;De 3 a 5 anos;Não;;Não;Não fiz outra graduação;Não;Em casa;Noite;De segunda à sexta-feira;Carga horária flexível e compatível com minha realidade;;;;;;;Tecnologia em Gestão de Saúde Pública - Tecnólogo;2018;0
